EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1609;125;280591;0;68866;72835700;13264600;11500400;4074720;0;255564;31;2313190000;0;567731000;8835;1395000;309,584;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;51;0;0;0;0;496256;197727;54278;17795;0;3877;1;0;0;0;128;14000;5,5;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;196;12;276;0;0;9428860;759892;1031280;69452;0;73663;19;1070050;0;0;2432;266000;104,201;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2229;235;108078;0;0;54045000;14972200;9067950;2073440;0;201510;30;725960000;0;0;8046;1350000;251,914;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2312;357;345341;0;26141;61532600;15199100;11077200;3810030;0;203794;31;2270270000;0;171851000;9360;1685000;254,701;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;250;11;133;9;0;9428860;969250;1031280;87739;0;73663;19;515641;34893;0;2432;266000;104,517;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;48;9;14945;0;0;1827020;322416;302265;129403;0;6717;1;100386000;0;0;272;45000;8,283;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3796;325;186023;0;9591;55677200;25497700;9370220;3608720;0;208227;31;1249520000;0;64422700;8289;1395000;264,15;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4634;236;203471;0;8793;72835700;38202700;11500400;5188130;0;255564;31;1677410000;0;72489500;8835;1395000;309,432;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5192;454;315331;0;25815;61532600;34132200;11077200;5314570;0;203794;31;2072990000;0;169708000;9360;1685000;252,634;0
ACA;AIR CANADA;ESTRANGEIRA;2021;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;389;8;43706;0;0;17664300;3168020;3434180;641058;0;65152;8;355942000;0;0;2169;421683;78,983;0
ACA;AIR CANADA;ESTRANGEIRA;2021;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;360;4;20266;0;0;9767250;2949840;1878620;431543;0;32776;4;166060000;0;0;1192;229268;43,484;0
ACA;AIR CANADA;ESTRANGEIRA;2021;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;981;34;113896;0;862;21976300;8038310;4233530;1663770;0;73746;9;933264000;0;7063230;2682;516663;97,101;0
ACA;AIR CANADA;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1102;28;87603;0;702;17664300;8974690;3434180;1526870;0;65152;8;713439000;0;5717090;2169;421683;79,833;0
ACA;AIR CANADA;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3138;73;202650;0;4037;34193600;25712800;6585490;4007740;0;114716;14;1660510000;0;33079200;4173;803698;128,851;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;GCLP;LAS PALMAS;;;ILHAS CANÁRIAS;ÁFRICA;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;1752630;1059850;265412;100556;0;5170;1;5170000;0;0;339;51337;6,5;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;LEMD;MADRID;;;ESPANHA;EUROPA;GCLP;LAS PALMAS;;;ILHAS CANÁRIAS;ÁFRICA;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;598335;361825;90609;34329;0;1765;1;1765000;0;0;339;51337;2,4;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;LEMD;MADRID;;;ESPANHA;EUROPA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2225;23;66046;3240;0;34081700;18641000;4366370;2231020;0;100536;12;553333000;27144700;0;4068;521172;121,217;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;LEMD;MADRID;;;ESPANHA;EUROPA;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;205;0;1000;0;0;;;;;;;;;;;;;;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;LEMD;MADRID;;;ESPANHA;EUROPA;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;483;5;14500;0;0;14099700;3348160;1806380;401845;0;41592;6;100514000;0;0;2034;260586;51,6333;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LEMD;MADRID;;;ESPANHA;EUROPA;INTERNACIONAL;REGULAR;2948;46;101330;0;0;34081700;24698300;4366370;3071790;0;100536;12;848943000;0;0;4068;521172;111,067;0
AEA;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESTRANGEIRA;2021;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;LEMD;MADRID;;;ESPANHA;EUROPA;INTERNACIONAL;REGULAR;1375;5;82012;0;0;18799600;9531500;2408500;1426340;0;55456;8;568507000;0;0;2712;347448;61,45;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;LFPG;PARIS;;;FRANÇA;EUROPA;SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;183;9;1040;405;0;6017150;1295460;1191660;123952;0;21237;3;7362160;2867000;0;850;168337;28,25;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;LFPG;PARIS;;;FRANÇA;EUROPA;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;113;6;17093;348;1695;6998210;1037790;1221540;265949;0;18368;2;156982000;3196030;15566900;762;133008;23,2;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;LFPG;PARIS;;;FRANÇA;EUROPA;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2392;157;240061;3132;4803;62983900;21968100;10911500;4225950;0;165312;18;2204720000;28764300;44110800;6858;1188100;204,334;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;LFPG;PARIS;;;FRANÇA;EUROPA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5633;59;348021;11852;9375;98592600;52978400;16945000;8129350;0;300960;32;3273140000;111468000;88171900;10483;1801700;375,733;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;LFPG;PARIS;;;FRANÇA;EUROPA;INTERNACIONAL;REGULAR;628;18;31357;468;0;6017150;4445610;1208650;622079;0;21237;3;221976000;3312970;0;850;170737;24,7;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPG;PARIS;;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;623;85;14153;314;0;6998210;5721630;1221540;644928;0;18368;2;129981000;2883780;0;762;133008;21,317;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPG;PARIS;;;FRANÇA;EUROPA;INTERNACIONAL;REGULAR;4868;120;213218;2512;0;59484800;44707700;10343400;5981880;0;156128;17;1958190000;23070200;0;6477;1126240;185,883;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPG;PARIS;;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;149;3;8527;178;0;2633400;1401340;485298;206317;0;9405;1;80196400;1674090;0;280;51600;11,4;0
AFR;SOCIÉTÉ AIR FRANCE;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPG;PARIS;;;FRANÇA;EUROPA;INTERNACIONAL;REGULAR;8464;98;437624;11699;0;96363600;79603900;16405100;11280200;0;291555;31;4115850000;110029000;0;10246;1744300;339,734;0
AMX;AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;ESTRANGEIRA;2021;1;MMMX;MEXICO;;;MÉXICO;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;19774;0;0;1769050;0;324153;146980;0;7433;1;146980000;0;0;238;43610;10,083;0
AMX;AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;ESTRANGEIRA;2021;1;MMMX;MEXICO;;;MÉXICO;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5715;0;391181;0;0;87426900;42479600;17380600;6730790;0;327052;44;2907650000;0;0;11762;2338300;422,118;0
AMX;AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;MMMX;MEXICO;;;MÉXICO;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;1769050;0;324153;0;0;7433;1;0;0;0;238;43610;9,033;0
AMX;AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;MMMX;MEXICO;;;MÉXICO;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6643;0;544810;0;0;85434900;49377400;16984000;8493520;0;319619;43;4049570000;0;0;11494;2284940;381,105;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1062;0;0;0;0;1902510;1313690;239507;118227;0;12370;10;0;0;0;1538;193623;20,317;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;0;0;483032;0;0;1996;1;0;0;0;0;242000;2,617;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2774;0;0;0;0;10602800;5536900;3417900;498304;0;67864;34;0;0;0;5312;1712390;99,983;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;161;0;0;0;0;1012540;277242;134796;24949;0;10332;6;0;0;0;588;78282;16,416;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3449;0;0;0;0;9378010;5939180;1178590;534510;0;60270;35;0;0;0;5446;684441;93,183;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;302;0;0;0;0;2412240;958548;302480;86266;0;15870;5;0;0;0;760;95300;21,565;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;752;0;0;0;0;1902510;930224;239507;83715;0;12370;10;0;0;0;1538;193623;21,718;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;24015;0;0;0;0;483032;47933;0;1996;1;47933900;0;0;0;242000;3,733;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2846;0;0;0;0;10602800;5680620;3417900;511242;0;67864;34;0;0;0;5312;1712390;112,417;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;151;0;0;0;0;1012540;260022;134796;23400;0;10332;6;0;0;0;588;78282;18,167;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3317;0;0;0;691;9378010;5711870;1178590;515240;0;60270;35;0;0;1189900;5446;684441;101,47;0
ARG;AEROLINEAS ARGENTINAS S/A;ESTRANGEIRA;2021;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;384;0;0;0;0;2412240;1218820;302480;109691;0;15870;5;0;0;0;760;95300;23,283;0
AVA;AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;815;41;3253;0;0;7356420;3700920;896388;347846;0;54492;12;14771900;0;0;1620;197400;72,0667;0
AVA;AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2745;64;32050;0;5;28383500;11902300;4959070;1210180;0;121408;28;138969000;0;21680;6546;1143700;156,467;0
AVA;AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;ESTRANGEIRA;2021;1;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;754;19;3887;0;1;6811500;3423910;826911;325802;0;49951;11;17650900;0;4541;1500;182100;69,7667;0
AVA;AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;ESTRANGEIRA;2021;1;SKBO;BOGOTÁ;;;COLÔMBIA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2803;62;49184;0;133;28383500;12153800;4959070;1307670;0;121408;28;213262000;0;576688;6546;1143700;173,417;0
AZA;ALITALIA SOCIETA AEREA ITALIANA S.P.A.;ESTRANGEIRA;2021;1;LIMC;MILAN;;;ITÁLIA;EUROPA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;30245;0;0;0;0;440293;286873;0;9485;1;286874000;0;0;0;46420;12,35;0
AZA;ALITALIA SOCIETA AEREA ITALIANA S.P.A.;ESTRANGEIRA;2021;1;LIRF;ROME;;;ITÁLIA;EUROPA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;247;24;18856;0;1910;5829590;2329950;868495;405580;0;18866;2;177869000;0;18017000;618;92070;24,116;0
AZA;ALITALIA SOCIETA AEREA ITALIANA S.P.A.;ESTRANGEIRA;2021;1;LIRF;ROME;;;ITÁLIA;EUROPA;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;11914;462;0;0;0;334751;87365;0;7333;1;87365400;3387850;0;0;45650;9,1;0
AZA;ALITALIA SOCIETA AEREA ITALIANA S.P.A.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LIMC;MILAN;;;ITÁLIA;EUROPA;INTERNACIONAL;REGULAR;0;0;24650;0;0;0;0;440293;233805;0;9485;1;233805000;0;0;0;46420;11,05;0
AZA;ALITALIA SOCIETA AEREA ITALIANA S.P.A.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LIRF;ROME;;;ITÁLIA;EUROPA;INTERNACIONAL;REGULAR;451;45;9669;0;0;5829590;4254280;875758;474092;0;18866;2;91207700;0;0;618;92840;21,016;0
AZA;ALITALIA SOCIETA AEREA ITALIANA S.P.A.;ESTRANGEIRA;2021;1;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;LIRF;ROME;;;ITÁLIA;EUROPA;INTERNACIONAL;NÃO REGULAR;0;0;4470;462;0;0;0;334751;32778;0;7333;1;32778500;3387850;0;0;45650;8,7;0
AZN;COMPAÑIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1804;0;0;0;0;6247770;3335600;2923270;300188;0;57319;31;0;0;0;3379;1581000;78,5;0
AZN;COMPAÑIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.;ESTRANGEIRA;2021;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SUMU;MONTEVIDEO, MONTEVIDEO;;;URUGUAI;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;35;0;0;0;0;78500;54950;37680;4945;0;1570;1;0;0;0;50;24000;2,5;0
AZN;COMPAÑIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.;ESTRANGEIRA;2021;1;SLLP;LA PAZ;;;BOLÍVIA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;119650;0;57432;0;0;2393;1;0;0;0;50;24000;4,25;0
AZN;COMPAÑIA DE SERVICIOS DE TRANSPORTE AEREO AMASZONAS S/A.;ESTRANGEIRA;2021;1;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1802;0;0;0;0;6247770;3331900;2923270;299856;0;57319;31;0;0;0;3379;1581000;108,667;0
AZP;COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY);ESTRANGEIRA;2021;1;SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL;SGAS;ASUNCIÓN;;;PARAGUAI;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;77;0;0;0;0;139800;71764;15288;6458;0;2796;3;0;0;0;150;16404;4,749;0
AZP;COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY);ESTRANGEIRA;2021;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SGAS;ASUNCIÓN;;;PARAGUAI;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;38;0;0;0;0;147300;55974;16108;5036;0;2946;2;0;0;0;100;10936;5,334;0
AZP;COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY);ESTRANGEIRA;2021;1;SGAS;ASUNCIÓN;;;PARAGUAI;AMÉRICA DO SUL;SBFL;FLORIANÓPOLIS;SC;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;70;0;0;0;0;139800;65240;15288;5870;0;2796;3;0;0;0;150;16404;4,749;0
AZP;COMPAÑIA DE AVIACION PARAGUAYA SOCIEDAD ANONIMA - PARANAIR (EX- AMASZONAS PARAGUAY);ESTRANGEIRA;2021;1;SGAS;ASUNCIÓN;;;PARAGUAI;AMÉRICA DO SUL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;56;0;0;0;0;147300;82488;16108;7423;0;2946;2;0;0;0;100;10936;5,334;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;1;KFLL;FORT LAUDERDALE/HOLLYWOOD, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;12163;3315;1;0;0;0;0;0;4,58333;0
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASILEIRA;2021;1;KFLL;FORT LAUDERDALE/HOLLYWOOD, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;252;4;138563;0;0;7763500;1641280;2704860;1079730;391543;58617;9;902461000;0;0;1192;415302;76,75;8318
